x,y,c,w,h,r,alpha,type
10.088663,57.418648,-13161064,18.357687,9.969738,1.2219753,105.24801,0
162.98373,113.228065,-1395680,20.0,4.953457,0.0,93.13759,0
148.58942,1.4735552,-16468872,19.25902,20.0,1.3666208,31.355598,0
214.07533,59.97194,-6081320,16.762371,11.571689,4.221527,47.41106,1
0.74651855,4.3241906,-11982987,15.244264,12.862272,1.2543025,218.31647,1
18.92661,63.075703,-15043555,20.0,20.0,1.9715708,86.375114,0
144.21875,13.33447,-9814530,16.473434,1.9047393,1.1460567,54.78086,0
12.375522,43.430378,-16767634,15.696783,15.959705,4.9019475,77.45901,0
146.40752,113.44817,-1829102,10.037755,3.392088,2.7941284,251.2776,0
139.97977,112.73471,-8473215,9.917431,15.573864,5.2539268,139.95119,1
99.86783,94.95673,-15915776,13.136465,8.816776,6.2831855,30.595161,0
204.20772,68.50481,-16695239,11.628069,17.888945,1.6277258,70.516335,0
29.344074,100.78606,-12450938,17.596542,11.747321,6.2831855,106.06638,1
92.95565,116.0,-15129058,20.0,16.042791,4.724192,114.155876,0
115.9102,86.63775,-1919124,18.46707,20.0,6.2831855,142.58519,1
216.0,58.98041,-13529975,18.095514,19.256413,2.6455007,117.88003,0
60.37309,115.378365,-11794670,13.016297,20.0,4.5714173,35.499565,0
210.12402,71.549385,-12229245,20.0,15.130413,5.0633864,255.0,1
190.4984,97.014915,-10549078,6.338461,20.0,1.4366428,44.850353,0
164.88776,21.273287,-11716318,0.0,0.0,2.7894936,113.74294,1
162.12549,35.025494,-4746867,10.231356,14.988766,5.4365425,154.35872,1
104.8407,90.21137,-13488896,20.0,20.0,3.672935,163.17137,0
108.31022,96.12753,-14940416,14.142293,17.767115,1.5236001,79.80739,0
110.86097,84.254395,-7317243,17.304388,17.339079,2.2750833,204.26154,0
171.20181,14.4880085,-13142457,18.27792,18.047215,2.049813,46.969643,0
202.18335,89.44569,-7683570,0.0,15.819762,0.0,35.038956,0
10.103613,103.05181,-14334854,20.0,20.0,4.7145705,101.211845,0
173.34515,75.18695,-12377472,1.2486153,18.137554,2.4324672,18.906723,1
64.20857,99.91529,-14142821,14.003544,4.7213564,6.085942,31.609726,0
15.233553,6.902502,-6791318,19.152885,10.079359,0.0,79.6945,1
108.81468,11.16267,-6640896,4.3931985,0.0,0.0,178.04877,0
136.56802,0.06348139,-2462459,20.0,20.0,5.715124,34.55517,0
125.24659,0.40788746,-9235896,17.117826,15.948944,0.0,96.765976,0
207.88104,17.10516,-521398,8.713173,1.7748508,5.345177,3.4823012,1
55.488472,11.501588,-10800556,7.8152943,19.347164,5.01761,54.789364,0
193.55128,14.066669,-13959059,15.133564,19.398443,6.2831855,25.152063,0
158.92545,67.77343,-3695288,10.157053,6.6114674,5.773335,40.007854,0
66.65358,44.818924,-7763099,4.6648293,0.0,0.36424798,63.187523,1
181.09264,68.60337,-8250568,6.106112,6.321891,3.7832859,19.22057,1
136.73619,108.11481,-4431285,16.380102,11.981279,3.5149338,65.07487,0
141.75267,45.15636,-2770250,18.220974,20.0,2.887803,97.20037,1
121.12859,33.199223,-3622833,14.868602,13.152798,1.1750652,74.30503,1
59.262154,51.167522,-4630701,17.309662,20.0,5.716875,104.4436,0
