x,y,c,w,h,r,alpha,type
46.82247,63.77473,-12827622,11.430289,20.0,3.3039367,101.45206,0
145.21199,86.407555,-16598362,7.182402,16.028566,1.9799279,9.456245,1
21.986843,44.072056,-16758711,19.750895,15.272857,2.205792,12.556042,1
10.938799,79.76219,-10744529,6.430077,18.62235,3.3099945,253.57002,1
103.92943,146.28937,-9780623,14.284252,15.967721,0.0,231.82317,0
0.0,71.183685,-9475366,13.048516,19.94867,0.72194827,46.254387,0
132.2248,143.26926,-10679267,20.0,0.0,0.0,58.331352,1
39.210014,130.49689,-16442079,19.422657,9.575184,5.9903994,170.28328,0
0.58780813,44.412106,-11212653,19.293566,16.493687,2.7545614,55.25684,1
150.0,41.589314,-12417172,14.872129,14.3034725,1.8041198,21.810844,0
82.947044,5.814473,-10699024,12.990245,14.710264,4.329353,19.319029,0
